DDR,"Hunger, Berndt",,,,1,1,,,,,,,
DDR,"Hüter, Karl-Heinz",1,,,,,,,,,,,
DDR,"Hutschenreuther, Günter",,1,1,1,1,,,,,,,
DDR,"Iffland, Inge",,1,,,,,,,,,,
DDR,"Irmer, ?",,1,,,,,,,,,,
DDR,"Ismer, Bernhard",,,,,1,,,,,,,
DDR,"Jablonowski, Ulla",,,,1,,,,,,,,
DDR,"Jakobson, Hans-Peter",,,,1,1,,,,,,,
DDR,"Jamaikina, Jelena",1,,1,1,1,,,,,,,
DDR,"Janda, Annegret",1,,,,,,,,,,,
DDR,"John, Erich",,,,1,1,,,,,,,
DDR,"Joswig, Wolfgang",,1,1,1,1,,,,,,,
DDR,"Juckel, Cosima",1,,,,,,,,,,,
DDR,"Juckel, Lothar",,,1,,,,,,,,,
DDR,"Jung, Paul",1,1,,1,1,,,,,,,
DDR,"Jungblut, A.",1,,,,,,,,,,,
DDR,"Junghanns, Kurt",1,1,1,1,1,,,,,,,
DDR,"Junghanns, Lothar",,,1,,1,,,,,,,
DDR,"Jungnickel, Monika",,,,1,,,,,,,,
DDR,"Kabus, Günther",,,,,1,,,,,,,
DDR,"Kahl, Alice",,,,,1,,,,,,,
DDR,"Kanow, Ernst",1,1,1,1,1,,,,,,,
DDR,"Katzig, Hans-Jürgen",,,,,1,,,,,,,
DDR,"Kästner, Andreas",,,,1,,,,,,,,
DDR,"Kästner, Veit",,,,,1,,,,,,,
DDR,"Kegler, Harald",,,,,1,,,,,,,
DDR,"Keler, Peter",,1,,,,,,,,,,
DDR,"Kelm, Martin",1,,,1,1,,,,,,,
DDR,"Kind, Gerold",,,,1,1,,,,,,,
DDR,"Kirchner, Franz",,1,,,,,,,,,,
DDR,"Kirsch, Anne",,,,,1,,,,,,,
DDR,"Kirsch, Hanspeter",,,1,1,,,,,,,,
DDR,"Kirsch, Karin",,,1,,,,,,,,,
DDR,"Kirschner, Gunter",,1,,,1,,,,,,,
DDR,"Klingenburg, Karl-Heinz",,,,1,,,,,,,,
DDR,"Klingenburg, Erika",,,,1,,,,,,,,
DDR,"Klopfeisch, Sabine",,,,,1,,,,,,,
DDR,"Kluge, Reiner",,,,1,1,,,,,,,
DDR,"Klügel, Siegfried",,,1,1,,,,,,,,
DDR,"Klumpp, Hermann",,1,,,,,,,,,,
DDR,"Knobloch, Günter",,,,,1,,,,,,,
DDR,"König, Ina",,,1,,,,,,,,,
DDR,"König, Wolfgang",,,1,1,,,,,,,,
DDR,"Köster, Heinz",1,1,1,1,1,,,,,,,
DDR,"Korn, Roland",,,1,,,,,,,,,
DDR,"Korrek, Gabriele",,,1,1,1,,,,,,,
DDR/D,"Korrek, Norbert",,,1,1,1,1,,,,1,,
DDR,"Kraft, Ulrich",,,,,1,,,,,,,
DDR,"Krämer, Reinhold",,,,1,1,,,,,,,
DDR,"Kranz, Reinhard",,,,1,1,,,,,,,
DDR,"Krause, Carl",,,,1,1,,,,,,,
DDR,"Krause, Dieter",,1,1,,,,,,,,,
DDR,"Krause, Dorothea",,,,1,,,,,,,,
DDR,"Krause, Stefan",,,,1,,,,,,,,
DDR,"Krauß, Matthias",,,,,1,,,,,,,
DDR,"Krauß, Rainer",,,,1,1,,,,,,,
DDR,"Krauße, Joachim",,,,1,,,,,,,,
DDR,"Kremtz, Ullrich",,,,1,1,,,,,,,
DDR,"Krettek, Reiner",,,,1,,,,,,,,
DDR,"Kretzschmar, Horst",,1,1,1,1,,,,,,,
DDR,"Krey, Inge",,,,,1,,,,,,,
DDR,"Kristen, Heide-Rose",,,,,1,,,,,,,
DDR,"Kubsch, Werner",1,1,,,,,,,,,,
DDR,"Kuhlney, A.",,1,,,,,,,,,,
DDR,"Kühne, Lothar",,,1,1,,,,,,,,
DDR,"Kühne, Martin",,,,,1,,,,,,,
DDR,"Kühne, Sabine",,,,1,,,,,,,,
DDR,"Kündiger, Barbara",,,,1,,,,,,,,
DDR,"Künzel, Ebelhard",,,1,1,1,,,,,,,
DDR,"Kuhn, Rolf",,,1,1,1,,,,,,,
DDR,"Kutschke, Christine",1,1,1,1,,,,,,,,
DDR,"Kutschmar, Aribert",,,1,1,1,,,,,,,
DDR,"Küttner, Ludwig",1,1,,,,,,,,,,
DDR,"Lack, Hellfried",,,1,,,,,,,,,
DDR,"Laczny, Ursula",,,,1,,,,,,,,
DDR,"Lahnert, Hans",1,1,1,1,1,,,,,,,
DDR,"Lammert, Ule",1,,,,,,,,,,,
DDR,"Lander, Karl-Heinz",,,,,1,,,,,,,
DDR,"Lange, Bärbel",,,,1,1,,,,,,,
DDR,"Lange, Hans",,,,,1,,,,,,,
DDR,"Lasch, Rolf",,,,1,,,,,,,,
DDR/D,"Laudel, Heidrun",,,1,1,,1,,,,,,
DDR,"Lehmann, Günther",,,,1,,,,,,,,
DDR,"Lehninger, Manfred",,,,1,,,,,,,,
DDR,"Lembcke, Kurt",,,1,1,1,,,,,,,
DDR,"Leucht, Friedrich",,,,,1,,,,,,,
DDR,"Letsch, H.",1,1,,,,,,,,,,
DDR,"Limberg, Jörg",,,1,1,1,,,,,,,
DDR/D,"Lindner, Gerhard",,,,1,,1,,,,,,
DDR,"Lindner, Heidrun",1,,,,,,,,,,,
DDR,"Lindner, Lothar",,,,,1,,,,,,,
DDR,"Lindner, Norbert",,,,,,,,,,,,
DDR,"Loude, Horet",,1,,,,,,,,,,
DDR,"Luckner, Peter",,,,,1,,,,,,,
